pool_size,time,cumulative_time
105,16.553641431,2125.1355483990005
106,19.011785136,2144.1473335350006
107,16.449169859,2160.5965033940006
108,22.246956894,2182.8434602880006
109,20.623263975,2203.4667242630007
110,21.53440638,2225.0011306430006
111,17.007412434,2242.0085430770005
112,17.948967905,2259.9575109820003
113,17.81358707,2277.771098052
114,16.527900501,2294.298998553
115,17.152232796,2311.451231349
116,15.473100807,2326.9243321559998
117,16.739332029,2343.6636641849996
118,16.994327058,2360.6579912429997
119,15.244832623,2375.902823866
120,15.052194178,2390.9550180439996
121,16.893847958,2407.848866002
122,16.418107414,2424.266973416
123,16.87272545,2441.139698866
124,18.169271528,2459.308970394
125,15.822231703,2475.131202097
126,19.748630821,2494.879832918
127,16.130282584,2511.0101155019997
128,14.514332011,2525.524447513
129,17.761671247,2543.2861187599997
130,17.834719579,2561.1208383389994
131,16.601835067,2577.7226734059996
132,22.054109425,2599.7767828309998
133,16.727264766,2616.504047597
134,17.35253864,2633.856586237
135,19.693776538,2653.550362775
136,16.958980504,2670.509343279
137,16.152510999,2686.6618542779997
138,16.613509951,2703.275364229
139,21.855061961,2725.13042619
140,18.227064995,2743.357491185
141,18.100019253,2761.457510438
142,16.909823047,2778.367333485
143,16.018356448,2794.385689933
144,17.467899751,2811.853589684
145,14.838409765,2826.691999449
146,16.51273446,2843.204733909
147,15.896174732,2859.100908641
148,17.010158339,2876.11106698
149,16.283452585,2892.394519565
150,15.836147352,2908.230666917
151,14.062942028,2922.293608945
152,15.068094745,2937.36170369
153,16.141773659,2953.503477349
154,17.840611002,2971.344088351
155,17.761601853,2989.105690204
156,17.426037869,3006.531728073
157,16.922046552,3023.4537746250003
158,16.124044478,3039.5778191030004
159,16.150573221,3055.728392324
160,16.745157265,3072.4735495890004
161,20.923597809,3093.3971473980005
162,14.839317926,3108.236465324
163,14.154905812,3122.391371136
164,17.44944396,3139.840815096
165,18.054214277,3157.895029373
166,17.312903275,3175.2079326479998
167,16.183595576,3191.3915282239996
168,18.091785121,3209.4833133449997
169,15.343259696,3224.826573041
170,17.617437521,3242.4440105619997
171,16.574449947,3259.018460509
172,15.0748424,3274.0933029089997
173,21.087280158,3295.1805830669996
174,18.730494623,3313.9110776899997
175,17.482298558,3331.3933762479996
176,15.073152758,3346.4665290059997
177,15.87145324,3362.3379822459997
178,16.75100536,3379.088987606
179,15.156991872,3394.245979478
180,15.645987127,3409.891966605
181,17.424273837,3427.316240442
182,14.394446335,3441.710686777
183,16.428588203,3458.1392749799998
184,16.174765847,3474.3140408269996
185,14.036024251,3488.3500650779997
186,14.182886268,3502.5329513459997
187,17.121869049,3519.6548203949997
188,16.899436086,3536.554256481
189,14.149728781,3550.7039852619996
190,14.92746581,3565.6314510719994
191,15.47429104,3581.1057421119995
192,16.601829881,3597.7075719929994
193,13.482112158,3611.1896841509993
194,16.853716103,3628.043400254
195,16.682707939,3644.726108193
196,15.681350767,3660.40745896
197,15.087587155,3675.495046115
198,17.054965991,3692.550012106
199,16.708143,3709.258155106
200,21.453664188,3730.7118192939997
201,14.99581991,3745.707639204
202,19.020365469,3764.7280046729998
203,16.77038705,3781.4983917229997
204,16.275590774,3797.773982497
205,17.403607566,3815.177590063
206,16.481624421,3831.659214484
207,14.571613102,3846.230827586
208,13.692877662,3859.9237052480003
209,16.653189056,3876.5768943040002
