run,without_intra,with_intra
237,4475.961532804,6824.869354054
238,4493.644692691,6855.820151909
239,4511.027132762,6883.69157773
240,4527.908470998001,6911.623271543
241,4545.990010554001,6941.304778119999
242,4564.565238814999,6972.456595656
243,4582.672276492999,7000.701524299
244,4600.066865524999,7029.718383157
245,4615.740421801,7059.483941412
246,4631.69787576,7089.163290032
247,4648.82340312,7118.804567043
248,4666.726642046,7147.839593188
249,4683.191398152,7176.073011211
250,4701.000882617001,7205.727773433
251,4718.634315227,7236.455664425
252,4735.269218111001,7265.131651764
253,4753.989643484,7294.181824548999
254,4769.724194745,7324.330755990999
255,4788.446060243,7352.725608873999
256,4807.123264703,7380.579657876999
257,4826.190499964,7410.020919559999
258,4843.9604347409995,7439.364797376
259,4862.586408104,7468.156208889
260,4876.699692671,7497.648302150999
261,4891.478483281,7527.423086020999
262,4907.264510598,7557.925749442999
263,4925.988340612,7587.746277707999
264,4944.7301905859995,7616.445962163999
265,4961.726777569,7646.103989339999
266,4979.4368919379995,7674.127454416999
267,4996.846523492999,7702.726498065999
268,5014.536146273999,7732.541829384999
269,5030.998714727999,7762.187146680999
270,5048.946745486999,7790.993134226999
271,5066.655204451999,7818.917433784999
272,5084.730209807999,7848.984303198999
273,5100.668178351999,7879.172787039
274,5115.1361412900005,7910.122212459
275,5132.760766953001,7940.133350133
276,5150.921707436,7968.992970571
277,5166.07634225,7992.991230052
278,5184.598551959,8022.148423596
279,5201.916988912,8051.263772056
280,5215.784960693,8078.716933008
281,5233.089117284,8107.860008643
282,5248.692311054,8137.899328202
283,5266.4409715,8167.298189064
284,5280.145955028001,8196.987663819
285,5298.304176031001,8226.695904712
286,5312.851406465001,8256.551118277
287,5330.121325921001,8286.946538269001
288,5346.743840074001,8316.97631112
289,5363.511693391001,8346.784533597001
290,5377.532969117,8375.342920531
291,5392.560523354,8404.568701482
292,5410.654454135,8434.657894611
293,5428.361796896001,8464.971563999
294,5446.224581765001,8494.659106644001
295,5463.497825228001,8524.843566545002
296,5481.929658549001,8553.495864515002
297,5499.927677283001,8582.952510987001
298,5516.954869571001,8613.045121963001
299,5534.893657740001,8643.310398752
300,5552.728047651,8672.005505834
301,5571.050732417,8701.274105324
302,5586.830420613001,8729.637008463
303,5601.85853947,8758.248824623
304,5619.3559912850005,8787.605382222
305,5633.95623123,8817.342457309
306,5649.408271209,8845.423514795
307,5666.554478405001,8874.397740674
308,5684.774512381001,8902.364900663
309,5703.069062637001,8931.297173495
310,5718.592753033001,8961.050066912001
311,5736.440824689001,8990.939514775002
312,5754.8237781200005,9020.827664395001
313,5770.9827192190005,9049.785027368001
314,5789.0095909130005,9079.605164154002
315,5807.263721905,9108.822206907002
316,5822.440242131001,9138.338210152002
317,5841.256843711,9168.741416377003
318,5859.243845675001,9198.965376711003
319,5874.186073352001,9228.674629196003
320,5892.251926581001,9258.510766196003
321,5909.708721969,9288.277329546003
322,5928.025277233999,9317.577379751001
323,5943.653639765999,9347.745730792001
324,5960.418766766999,9377.324255351
325,5978.146326095999,9405.59092298
326,5996.506888178999,9435.334197027
327,6014.718777024999,9464.190496792
328,6031.479094595999,9493.516876383
329,6048.645556109,9522.383928013001
330,6066.945592792,9550.860563129001
331,6081.935928901,9580.897991469
332,6099.38241009,9610.719787626002
333,6113.192391708,9639.395684609002
334,6131.4073448280005,9668.442594385002
335,6148.302939451,9699.616941852002
336,6164.043952508,9729.597702213003
337,6181.070795775,9760.760776455003
338,6198.313049581,9790.086232816
339,6213.114244252,9821.263770378
340,6227.093221754,9850.803241617
341,6240.564695991,9880.356396708
342,6257.891940511,9909.895792004001
343,6273.555319147,9940.143880669
344,6288.807551227,9967.986554915
345,6308.4371673979995,9999.909805417
346,6325.812219523999,10030.153284315002
347,6343.525714258999,10061.895413793001
